Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
VA. WESLEYAN,12/14/14,83-84,Lot,28-66,.424,10-18,.556,18-27,.667,13,21,34,37.3,24,8,14,3,4,84,72.7,2014-2015
at Salisbury,12/17/14,48-54,L,17-47,.362,6-23,.261,14-17,.824,7,26,33,36.8,16,7,18,3,6,54,70.4,2014-2015
OTTERBEIN,12/29/14,71-55,W,22-56,.393,4-13,.308,7-11,.636,9,32,41,37.2,17,10,18,5,4,55,68.7,2014-2015
HOOD,12/30/14,75-68,W,20-54,.370,7-21,.333,21-27,.778,9,21,30,36.5,22,7,12,6,9,68,68.6,2014-2015
YORK (PA.),01/03/15,95-61,W,17-46,.370,6-13,.462,21-28,.750,12,20,32,36.1,18,10,22,1,9,61,67.9,2014-2015
at Wesley,01/06/15,75-62,W,19-52,.365,2-12,.167,22-29,.759,10,21,31,35.7,26,13,21,6,14,62,67.4,2014-2015
PENN ST. HARRISBURG,01/10/15,81-58,W,21-54,.389,6-21,.286,10-18,.556,9,24,33,35.5,19,10,14,5,2,58,66.7,2014-2015
ST. MARY'S (MD.),01/14/15,66-58,W,20-62,.323,4-17,.235,14-17,.824,16,28,44,36.1,19,10,16,6,8,58,66.1,2014-2015
at Marymount (Va.),01/17/15,60-62,L,21-46,.457,3-14,.214,17-22,.773,14,18,32,35.8,15,9,11,3,6,62,65.8,2014-2015
MARY WASHINGTON,01/21/15,53-49,W,18-49,.367,6-18,.333,7-9,.778,8,22,30,35.4,12,9,16,6,13,49,64.8,2014-2015
FROSTBURG STATE,01/24/15,92-58,W,19-53,.358,4-19,.211,16-23,.696,11,20,31,35.2,15,11,20,4,9,58,64.4,2014-2015
at Southern Virginia,01/28/15,59-60,Lot,19-46,.413,3-11,.273,19-28,.679,11,23,34,35.1,24,8,24,3,16,60,64.1,2014-2015
at York (Pa.),01/31/15,63-55,W,18-39,.462,3-16,.188,16-21,.762,5,22,27,34.7,16,11,13,1,8,55,63.6,2014-2015
SALISBURY,02/04/15,57-64,Lot,24-57,.421,11-25,.440,5-7,.714,14,33,47,35.3,17,17,23,5,7,64,63.7,2014-2015
WESLEY,02/07/15,69-51,W,13-55,.236,4-11,.364,21-30,.700,16,26,42,35.6,16,7,15,2,8,51,63.0,2014-2015
at Mary Washington,02/11/15,58-54,W,16-43,.372,3-15,.200,19-28,.679,8,22,30,35.4,23,2,18,4,8,54,62.6,2014-2015
MARYMOUNT (VA.),02/14/15,80-62,W,25-65,.385,3-12,.250,9-16,.563,12,25,37,35.4,14,11,11,7,4,62,62.6,2014-2015
at St. Mary's (Md.),02/18/15,78-88,L,29-48,.604,9-14,.643,21-28,.750,8,28,36,35.5,23,18,16,2,4,88,63.7,2014-2015
at Penn State Harrisbur,02/21/15,66-56,W,20-47,.426,7-15,.467,9-14,.643,11,12,23,35.0,21,11,16,0,2,56,63.4,2014-2015
WESLEY,02/24/15,87-81,W,32-73,.438,4-9,.444,13-18,.722,17,22,39,35.1,19,5,13,4,11,81,64.0,2014-2015
at St. Mary's (Md.),02/26/15,83-69,W,26-61,.426,3-15,.200,14-23,.609,13,23,36,35.1,19,11,12,2,5,69,64.2,2014-2015
at Salisbury,02/28/15,57-58,L,21-55,.382,3-12,.250,13-16,.813,13,16,29,34.9,9,8,8,3,5,58,64.0,2014-2015
LYNCHBURG,11/15/15,72-56,W,17-59,.288,4-20,.200,18-25,.720,17,23,40,40.0,24,12,15,3,1,56,56.0,2015-2016
WASHINGTON & LEE,11/17/15,70-52,W,20-49,.408,4-14,.286,8-17,.471,7,20,27,33.5,14,8,18,7,10,52,54.0,2015-2016
at Randolph-Macon,11/24/15,74-65,W,24-56,.429,7-19,.368,10-15,.667,12,18,30,32.3,20,13,14,0,7,65,57.7,2015-2016
