Opponent,Date,Score,w/l,fgm-fga,pct,3fg-fga,pct,ftm-fta,pct,off,def,tot,avg,pf,ast,t/o,blk,stl,pts,avg,Season
at Randolph-Macon,11/19/13,84-83,W,28-54,.519,12-22,.545,16-24,.667,8,20,28,37.0,18,14,8,3,2,84,81.5,2013-2014
YORK (NY),11/23/13,89-83,W,32-60,.533,5-18,.278,20-26,.769,11,32,43,39.0,21,13,14,6,4,89,84.0,2013-2014
EMORY,11/24/13,90-92,L,30-63,.476,9-20,.450,21-42,.500,18,27,45,40.5,16,13,12,1,6,90,85.5,2013-2014
at Eastern Mennonite,12/1/13,68-59,W,25-57,.439,6-13,.462,12-17,.706,13,25,38,40.0,17,7,10,3,1,68,82.0,2013-2014
at Southern Virginia University,12/4/13,80-54,W,29-60,.483,12-32,.375,10-14,.714,13,29,42,40.3,17,16,15,3,7,80,81.7,2013-2014
at York (Pa.),12/07/13,63-60,W,22-56,.393,10-28,.357,9-20,.450,18,22,40,40.3,16,13,19,3,9,63,79.0,2013-2014
at Virginia Wesleyan,12/15/13,83-80,Wot,33-69,.478,7-21,.333,10-17,.588,18,25,43,40.6,22,11,13,3,6,83,79.5,2013-2014
SALISBURY,12/18/13,56-47,W,18-61,.295,5-19,.263,15-18,.833,18,36,54,42.1,17,6,13,5,5,56,76.9,2013-2014
PITT-GREENSBURG,12/30/13,76-70,W,21-62,.339,4-29,.138,30-41,.732,18,24,42,42.1,17,10,9,0,8,76,76.8,2013-2014
FROSTBURG STATE,1/4/14,72-59,W,22-54,.407,9-29,.310,19-32,.594,15,28,43,42.2,14,9,13,6,4,72,76.4,2013-2014
WESLEY,1/8/14,46-64,L,16-58,.276,6-24,.250,8-16,.500,13,22,35,41.6,16,7,13,3,6,46,73.8,2013-2014
at Penn St. Harrisburg,1/11/14,60-63,Lot,24-55,.436,6-20,.300,6-13,.462,7,30,37,41.2,22,11,23,3,4,60,72.8,2013-2014
at Mary Washington,1/15/14,65-76,L,23-55,.418,11-31,.355,8-13,.615,7,28,35,40.8,27,11,17,4,3,65,72.2,2013-2014
MARYMOUNT,1/18/14,76-69,W,22-53,.415,13-22,.591,19-33,.576,16,23,39,40.7,23,13,15,7,5,76,72.5,2013-2014
at Frostburg State,1/25/14,84-41,W,27-52,.519,9-19,.474,21-26,.808,5,33,38,40.5,17,17,11,5,7,84,73.2,2013-2014
at St. Mary's (Md.),1/27/14,62-73,L,25-51,.490,10-25,.400,2-5,.400,8,22,30,39.9,22,13,20,2,6,62,72.5,2013-2014
YORK (PA.),2/1/14,73-57,W,27-57,.474,8-21,.381,11-19,.579,13,20,33,39.5,22,12,8,3,7,73,72.6,2013-2014
SOUTHERN VIRGINIA UNIVERSITY,2/3/14,91-76,W,32-56,.571,7-19,.368,20-26,.769,10,21,31,39.1,20,14,11,6,13,91,73.5,2013-2014
at Salisbury,2/5/14,58-83,L,19-51,.373,3-19,.158,17-22,.773,7,23,30,38.6,24,4,13,2,4,58,72.8,2013-2014
at Wesley,2/8/14,63-66,L,22-50,.440,8-15,.533,11-13,.846,10,19,29,38.1,16,13,12,0,7,63,72.3,2013-2014
MARY WASHINGTON,2/12/14,74-61,W,26-52,.500,8-21,.381,14-20,.700,11,26,37,38.1,18,11,16,4,10,74,72.4,2013-2014
PENN ST. HARRISBURG,2/15/14,74-44,W,25-56,.446,10-23,.435,14-22,.636,17,23,40,38.2,13,8,9,4,8,74,72.4,2013-2014
ST. MARY'S (MD.),2/19/14,64-69,L,20-48,.417,8-26,.308,16-22,.727,7,26,33,38.0,16,9,13,6,5,64,72.1,2013-2014
at Marymount (Va.),2/22/14,59-56,W,18-51,.353,5-21,.238,18-32,.563,16,24,40,38.0,21,5,12,1,4,59,71.6,2013-2014
